time/iterations,time/total_timesteps,time/time_elapsed,train/reward,time/fps,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/std,train/value_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/learning_rate
12,24576,198,-0.27060682,123,110,0.231201171875,-0.01863393279782031,1.0170153379440308,78.17633311748504,-41.58780446052551,0.025206499,-0.03055119514465332,40.038394927978516,0.2,0.00025
13,26624,213,2.9897995,124,120,0.263330078125,-0.017286914885335136,1.0197398662567139,28.652444100379945,-41.6813726902008,0.024642818,-0.007510066032409668,10.241389274597168,0.2,0.00025
14,28672,228,-6.453748,125,130,0.188134765625,-0.019112274932558647,1.0206298828125,100.48553259372711,-41.72551302909851,0.01599555,-0.004615902900695801,47.861114501953125,0.2,0.00025
15,30720,243,0.51152736,125,140,0.236572265625,-0.011990675133711192,1.0213202238082886,93.25130124092102,-41.74885528087616,0.018017344,0.003534853458404541,68.88066101074219,0.2,0.00025
16,32768,258,5.858588,126,150,0.262451171875,-0.012323832829133607,1.0225498676300049,77.22195208072662,-41.77220904827118,0.026344873,0.005885899066925049,41.38934326171875,0.2,0.00025
17,34816,273,2.1588378,127,160,0.245947265625,-0.014064826101821382,1.0247243642807007,100.49869782924652,-41.81575169563293,0.020642731,-0.00431978702545166,35.53721237182617,0.2,0.00025
18,36864,288,0.0776647,127,170,0.231201171875,-0.01178863579116296,1.025839924812317,48.2024649977684,-41.87020242214203,0.023794804,0.008433222770690918,11.933765411376953,0.2,0.00025
19,38912,303,2.480003,128,180,0.2142578125,-0.01518962694099173,1.0276975631713867,139.64455494880676,-41.90736658573151,0.022080012,0.001113295555114746,80.0981216430664,0.2,0.00025
20,40960,318,1.7902869,128,190,0.269677734375,-0.009861700533656403,1.030466914176941,22.762249904870988,-41.97294092178345,0.024537988,-0.004345417022705078,14.064098358154297,0.2,0.00025
21,43008,333,0.6210074,129,200,0.198828125,-0.014018439568462781,1.0317068099975586,156.51647372245787,-42.02853956222534,0.017999433,0.0075476765632629395,86.21541595458984,0.2,0.00025
22,45056,348,-1.7298162,129,210,0.205810546875,-0.015106216960703023,1.0329924821853638,37.07802927494049,-42.06415820121765,0.019234266,-0.007235407829284668,18.12721061706543,0.2,0.00025
23,47104,363,-1.4464843,129,220,0.213037109375,-0.012880361634597649,1.0338771343231201,108.78370175361633,-42.09968199729919,0.02153425,0.0008864402770996094,43.90250778198242,0.2,0.00025
24,49152,378,0.4468109,129,230,0.176708984375,-0.017190809651219753,1.0353425741195679,56.72976778745651,-42.1287442445755,0.016899116,-0.0392686128616333,25.795791625976562,0.2,0.00025
25,51200,394,-0.35781,129,240,0.2455078125,-0.01232839743315708,1.035742998123169,39.782027018070224,-42.15625169277191,0.028275693,-0.004617571830749512,21.946369171142578,0.2,0.00025
26,53248,410,1.7513577,129,250,0.11123046875,-0.013179419579682872,1.0356016159057617,64.3684597492218,-42.15945951938629,0.012311881,0.0048111677169799805,31.97808837890625,0.2,0.00025
27,55296,424,-0.2135786,130,260,0.170263671875,-0.014638634436414577,1.0371522903442383,24.308732759952544,-42.173773002624515,0.02032284,0.05700904130935669,12.938020706176758,0.2,0.00025
28,57344,439,0.3291488,130,270,0.20517578125,-0.006280166294891388,1.0376304388046265,62.425724148750305,-42.2105152130127,0.018167347,0.008116006851196289,26.290660858154297,0.2,0.00025
29,59392,454,-6.694341,130,280,0.20595703125,-0.021971404232317582,1.038210391998291,19.952180939912797,-42.2216493844986,0.020231776,-0.049878716468811035,9.033347129821777,0.2,0.00025
30,61440,469,-2.9164932,130,290,0.188427734375,-0.01368701706524007,1.0402053594589233,68.18514385223389,-42.256508231163025,0.016758192,-0.0023342370986938477,36.914390563964844,0.2,0.00025
31,63488,483,2.2053776,131,300,0.284130859375,-0.015302183965104632,1.0440117120742798,27.64759887456894,-42.334733390808104,0.029950242,0.02679586410522461,19.94457244873047,0.2,0.00025
32,65536,498,3.8788137,131,310,0.246728515625,-0.011022621495067142,1.0453888177871704,70.00343558788299,-42.407600378990175,0.03741754,0.0164833664894104,40.39341735839844,0.2,0.00025
33,67584,512,2.3279943,131,320,0.05146484375,-0.010091200764873066,1.0457199811935425,163.42130374908447,-42.43289468288422,0.006842992,0.018450617790222168,68.51131439208984,0.2,0.00025
34,69632,527,-0.48927897,131,330,0.22236328125,-0.013605362636735664,1.0453320741653442,101.59026124477387,-42.4270941734314,0.023515124,0.012093722820281982,59.56830596923828,0.2,0.00025
